Token,Converted
MA,(CH6N)
FA,(CH5N2)
GU,(CH6N3)
GA,(CH6N3)
EA,(C2H8N)
PA,(C3H10N)
BA,(C4H12N)
iso-BA,(C4H12N)
OA,(C8H20N)
DA,(C12H28N)
TMA,(C4H12N)
TBA,(C16H36N)
DMA,(C2H8N)
CHMA,(C7H16N)
CA,(C6H14N)
Ace,(C2H7N2)
iPA,(C3H10N)
PEA,(C8H12N)
PMA,(C7H10N)
BEA,(C7H10N)
BZA,(C7H10N)
Bn,(C7H10N)
3AMPY,(C6H9N2)
4AMPY,(C6H9N2)
3AMP,(C6H9N2)
4AMP,(C6H9N2)
THM,(C5H8NS)
ThMA,(C5H8NS)
ThFA,(C5H8NS)
N-EtPy,(C7H10N)
Anyl,(C6H8N)
PyEA,(C7H11N2)
PyrEA,(C7H11N2)
ImEA,(C5H10N3)
NMA,(C11H12N)
PBA,(C10H12N)
PPEA,(C11H12N)
PPA,(C9H14N)
EDA,(C2H10N2)
PDA,(C3H12N2)
DAP,(C3H12N2)
BDA,(C4H14N2)
BdA,(C4H14N2)
HDA,(C6H18N2)
HdA,(C6H18N2)
ODA,(C8H22N2)
OdA,(C8H22N2)
BzDA,(C6H10N2)
PAPA,(C8H14N2)
F-PEA,(C8H11FN)
FPEA,(C8H11FN)
4FPEA,(C8H11FN)
oF1PEA,(C8H11FN)
mF1PEA,(C8H11FN)
pF1PEA,(C8H11FN)
oFPEA,(C8H11FN)
mFPEA,(C8H11FN)
pFPEA,(C8H11FN)
Cl-PEA,(C8H11ClN)
CPEA,(C8H11ClN)
Br-PEA,(C8H11BrN)
F5PEA,(C8H7F5N)
F3EA,(C2H5F3N)
TFEA,(C2H5F3N)
5-AVA,(C5H12NO2)
AVA,(C5H12NO2)
GABA,(C4H10NO2)
HEA,(C2H8NO)
ALA,(C3H8NO2)
n-C3H7NH3,(C3H10N)
HA,(N2H5)
EPA,(C6H5CH2CH2NH3)
